epoch,mark,Desired Torque (L),Measured Torque (L),Desired Torque (R),Measured Torque (R),Toe FSR (L),Stance Phase (L),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769027947.344872,0,0.000000,0.000000,0.000000,0.000000,19.630000,0.000000,0.000000,0.000000,8.000000,29.430000
1769027947.376597,0,0.000000,0.000000,0.000000,0.150000,19.590000,0.000000,0.000000,0.980000,8.000000,29.450000
1769027947.407903,0,0.000000,0.000000,0.000000,0.030000,19.750000,0.000000,0.000000,1.000000,8.000000,29.450000
1769027947.407903,0,0.000000,0.000000,0.000000,0.050000,19.750000,0.000000,0.000000,1.000000,8.000000,29.470000
1769027947.423558,0,0.000000,0.000000,0.000000,0.050000,19.630000,0.000000,0.000000,1.000000,8.000000,29.500000
1769027947.439245,0,0.000000,0.000000,0.000000,0.070000,19.800000,0.000000,0.000000,1.000000,8.000000,29.510000
1769027947.454959,0,0.000000,0.000000,0.000000,0.100000,19.750000,0.000000,0.000000,0.990000,8.000000,29.530000
1769027947.454959,0,0.000000,0.000000,0.000000,0.000000,19.700000,0.000000,0.000000,0.990000,8.000000,29.540000
1769027947.470842,0,0.000000,0.000000,0.000000,0.070000,19.800000,0.000000,0.000000,1.000000,8.000000,29.550000
1769027947.502569,0,0.000000,0.000000,0.000000,0.010000,19.630000,0.000000,0.000000,1.000000,8.000000,29.560000
1769027947.518218,0,0.000000,0.000000,0.000000,0.050000,19.750000,0.000000,0.000000,1.000000,8.000000,29.590000
1769027947.549686,0,0.000000,0.000000,0.000000,0.000000,19.590000,0.000000,0.000000,0.990000,8.000000,29.600000
1769027947.565376,0,0.000000,0.000000,0.000000,0.050000,19.750000,0.000000,0.000000,0.990000,8.000000,29.620000
1769027947.581108,0,0.000000,0.000000,0.000000,0.000000,19.630000,0.000000,0.000000,0.990000,8.000000,29.630000
1769027947.581108,0,0.000000,0.000000,0.000000,-0.050000,19.750000,0.000000,0.000000,1.000000,8.000000,29.640000
1769027947.597089,0,0.000000,0.000000,0.000000,0.000000,19.630000,0.000000,0.000000,0.990000,8.000000,29.670000
1769027947.597089,0,0.000000,0.000000,0.000000,-0.070000,19.590000,0.000000,0.000000,1.000000,8.000000,29.680000
1769027947.613217,0,0.000000,0.000000,0.000000,0.000000,19.700000,0.000000,0.000000,0.990000,8.000000,29.700000
1769027947.645273,0,0.000000,0.000000,0.000000,0.000000,19.530000,0.000000,0.000000,1.000000,8.000000,29.700000
1769027947.645273,0,0.000000,0.000000,0.000000,-0.050000,19.370000,0.000000,0.000000,1.000000,8.000000,29.720000
1769027947.647282,0,0.000000,0.000000,0.000000,-0.020000,19.530000,0.000000,0.000000,0.990000,8.000000,29.730000
1769027947.666628,0,0.000000,0.000000,0.000000,-0.100000,19.630000,0.000000,0.000000,0.990000,8.000000,29.760000
1769027947.666628,0,0.000000,0.000000,0.000000,-0.020000,19.530000,0.000000,0.000000,0.990000,8.000000,29.770000
1769027947.692536,0,0.000000,0.000000,0.000000,0.010000,19.470000,0.000000,0.000000,0.980000,8.000000,29.790000
1769027947.725934,0,0.000000,0.000000,0.000000,-0.050000,19.630000,0.000000,0.000000,0.950000,8.000000,29.790000
1769027947.755977,0,0.000000,0.000000,0.000000,-0.070000,19.590000,0.000000,0.000000,0.930000,8.000000,29.810000
1769027947.779728,0,0.000000,0.000000,0.000000,-0.020000,19.590000,0.000000,0.000000,0.860000,8.000000,29.820000
1769027947.867414,0,0.000000,0.000000,0.000000,-0.070000,19.260000,0.000000,0.000000,0.760000,8.000000,29.850000
1769027947.899149,0,0.000000,0.000000,0.000000,0.030000,19.470000,0.000000,0.000000,0.660000,8.000000,29.860000
1769027947.915059,0,0.000000,0.000000,0.000000,-0.050000,19.590000,0.000000,0.000000,0.560000,8.000000,29.870000
1769027947.915059,0,0.000000,0.000000,0.000000,-0.100000,19.470000,0.000000,0.000000,0.360000,8.000000,29.900000
1769027947.915059,0,0.000000,0.000000,0.000000,-0.030000,19.630000,0.000000,0.000000,0.000000,8.000000,29.970000
1769027947.946820,0,0.000000,0.000000,0.000000,-0.070000,19.630000,0.000000,0.000000,0.000000,8.000000,30.010000
1769027947.978874,0,0.000000,0.000000,0.000000,-0.020000,19.700000,0.000000,0.000000,0.000000,8.000000,30.030000
1769027947.994891,0,0.000000,0.000000,0.000000,0.050000,19.630000,0.000000,0.000000,0.000000,8.000000,30.040000
1769027948.026261,0,0.000000,0.000000,0.000000,0.100000,19.860000,0.000000,0.000000,0.000000,8.000000,30.050000
1769027948.058103,0,0.000000,0.000000,0.000000,0.100000,19.750000,0.000000,0.000000,0.000000,8.000000,30.060000
1769027948.073736,0,0.000000,0.000000,0.000000,0.000000,19.800000,0.000000,0.000000,0.000000,8.000000,30.090000
1769027948.073736,0,0.000000,0.000000,0.000000,0.100000,19.750000,0.000000,0.000000,0.000000,8.000000,30.110000
1769027948.089897,0,0.000000,0.000000,0.000000,0.250000,20.070000,0.000000,0.000000,0.050000,8.000000,30.140000
1769027948.120980,0,0.000000,0.000000,0.000000,0.230000,19.960000,0.000000,0.000000,0.070000,8.000000,30.180000
1769027948.136611,0,0.000000,0.000000,0.000000,0.280000,20.070000,0.000000,0.000000,0.090000,8.000000,30.200000
1769027948.152336,0,0.000000,0.000000,0.000000,0.270000,20.030000,0.000000,0.000000,0.100000,8.000000,30.200000
1769027948.152336,0,0.000000,0.000000,0.000000,0.270000,19.920000,0.000000,0.000000,0.120000,8.000000,30.220000
1769027948.152336,0,0.000000,0.000000,0.000000,0.250000,19.920000,0.000000,0.000000,0.180000,8.000000,30.230000
1769027948.168202,0,0.000000,0.000000,0.000000,0.170000,19.860000,0.000000,0.000000,0.250000,8.000000,30.260000
1769027948.189975,0,0.000000,0.000000,0.000000,0.150000,19.860000,0.000000,0.000000,0.310000,8.000000,30.270000
1769027948.199663,0,0.000000,0.000000,0.000000,0.180000,19.800000,0.000000,0.000000,0.370000,8.000000,30.290000
1769027948.215309,0,0.000000,0.000000,0.000000,0.050000,19.920000,0.000000,0.000000,0.430000,8.000000,30.290000
1769027948.215309,0,0.000000,0.000000,0.000000,0.070000,19.700000,0.000000,0.000000,0.470000,8.000000,30.310000
1769027948.231269,0,0.000000,0.000000,0.000000,0.050000,19.590000,0.000000,0.000000,0.520000,8.000000,30.320000
1769027948.262754,0,0.000000,0.000000,0.000000,0.070000,19.470000,0.000000,0.000000,0.560000,8.000000,30.350000
1769027948.290057,0,0.000000,0.000000,0.000000,0.010000,19.590000,0.000000,0.000000,0.600000,8.000000,30.360000
1769027948.310017,0,0.000000,0.000000,0.000000,-0.050000,19.590000,0.000000,0.000000,0.620000,8.000000,30.370000
1769027948.310017,0,0.000000,0.000000,0.000000,-0.030000,19.470000,0.000000,0.000000,0.660000,8.000000,30.380000
1769027948.310017,0,0.000000,0.000000,0.000000,-0.070000,19.630000,0.000000,0.000000,0.680000,8.000000,30.400000
1769027948.328075,0,0.000000,0.000000,0.000000,-0.050000,19.420000,0.000000,0.000000,0.700000,8.000000,30.420000
1769027948.357415,0,0.000000,0.000000,0.000000,-0.070000,19.470000,0.000000,0.000000,0.740000,8.000000,30.440000
1769027948.357415,0,0.000000,0.000000,0.000000,-0.070000,19.420000,0.000000,0.000000,0.760000,8.000000,30.450000
1769027948.421274,0,0.000000,0.000000,0.000000,-0.210000,19.590000,0.000000,0.000000,0.800000,8.000000,30.460000
1769027948.469187,0,0.000000,0.000000,0.000000,-0.140000,19.420000,0.000000,0.000000,0.810000,8.000000,30.480000
1769027948.490456,0,0.000000,0.000000,0.000000,-0.140000,19.470000,0.000000,0.000000,0.820000,8.000000,30.500000
1769027948.500485,0,0.000000,0.000000,0.000000,-0.200000,19.420000,0.000000,0.000000,0.850000,8.000000,30.520000
1769027948.500485,0,0.000000,0.000000,0.000000,-0.070000,19.420000,0.000000,0.000000,0.870000,8.000000,30.540000
1769027948.548129,0,0.000000,0.000000,0.000000,-0.140000,19.420000,0.000000,0.000000,0.870000,8.000000,30.570000
1769027948.595751,0,0.000000,0.000000,0.000000,-0.150000,19.420000,0.000000,0.000000,0.870000,8.000000,30.590000
1769027948.629491,0,0.000000,0.000000,0.000000,-0.150000,19.420000,0.000000,0.000000,0.880000,8.000000,30.620000
1769027948.643269,0,0.000000,0.000000,0.000000,-0.120000,19.420000,0.000000,0.000000,0.880000,8.000000,30.630000
1769027948.658938,0,0.000000,0.000000,0.000000,-0.200000,19.530000,0.000000,0.000000,0.890000,8.000000,30.680000
1769027948.690779,0,0.000000,0.000000,0.000000,-0.140000,19.420000,0.000000,0.000000,0.890000,8.000000,30.700000
1769027948.737629,0,0.000000,0.000000,0.000000,-0.230000,19.470000,0.000000,0.000000,0.910000,8.000000,30.720000
1769027948.753337,0,0.000000,0.000000,0.000000,-0.100000,19.420000,0.000000,0.000000,0.910000,8.000000,30.760000
1769027948.753337,0,0.000000,0.000000,0.000000,-0.110000,19.470000,0.000000,0.000000,0.910000,8.000000,30.790000
1769027948.753337,0,0.000000,0.000000,0.000000,-0.150000,19.420000,0.000000,0.000000,0.890000,8.000000,30.800000
1769027948.753337,0,0.000000,0.000000,0.000000,-0.170000,19.300000,0.000000,0.000000,0.880000,8.000000,30.850000
1769027948.768975,0,0.000000,0.000000,0.000000,-0.250000,19.470000,0.000000,0.000000,0.870000,8.000000,30.870000
1769027948.790914,0,0.000000,0.000000,0.000000,-0.100000,19.630000,0.000000,0.000000,0.870000,8.000000,30.880000
1769027948.800492,0,0.000000,0.000000,0.000000,-0.090000,19.630000,0.000000,0.000000,0.870000,8.000000,30.890000
1769027948.828547,0,0.000000,0.000000,0.000000,-0.170000,19.630000,0.000000,0.000000,0.870000,8.000000,30.920000
1769027948.833397,0,0.000000,0.000000,0.000000,-0.120000,19.530000,0.000000,0.000000,0.870000,8.000000,30.930000
1769027948.847688,0,0.000000,0.000000,0.000000,-0.170000,19.590000,0.000000,0.000000,0.870000,8.000000,30.950000
1769027948.863333,0,0.000000,0.000000,0.000000,-0.090000,19.470000,0.000000,0.000000,0.860000,8.000000,30.950000
1769027948.878989,0,0.000000,0.000000,0.000000,-0.070000,19.420000,0.000000,0.000000,0.850000,8.000000,30.970000
1769027948.878989,0,0.000000,0.000000,0.000000,-0.120000,19.530000,0.000000,0.000000,0.850000,8.000000,30.980000
1769027948.910532,0,0.000000,0.000000,0.000000,-0.120000,19.370000,0.000000,0.000000,0.850000,8.000000,31.010000
1769027948.942000,0,0.000000,0.000000,0.000000,-0.100000,19.470000,0.000000,0.000000,0.830000,8.000000,31.020000
1769027948.942000,0,0.000000,0.000000,0.000000,-0.180000,19.470000,0.000000,0.000000,0.830000,8.000000,31.040000
1769027948.973692,0,0.000000,0.000000,0.000000,-0.110000,19.700000,0.000000,0.000000,0.830000,8.000000,31.040000
1769027948.991075,0,0.000000,0.000000,0.000000,-0.250000,19.590000,0.000000,0.000000,0.830000,8.000000,31.060000
1769027948.991075,0,0.000000,0.000000,0.000000,-0.150000,19.470000,0.000000,0.000000,0.830000,8.000000,31.070000
