epoch,mark,Desired Torque (L),Ankle Angle,Desired Torque (R),Measured Torque (R),Toe FSR (L),Stance Phase (L),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769029744.388115,0,0.000000,59.000000,0.000000,0.000000,19.470000,0.000000,0.000000,1.000000,8.000000,175.030000
1769029744.446807,0,0.000000,58.930000,0.000000,0.000000,19.700000,0.000000,0.000000,0.000000,8.000000,175.050000
1769029744.447821,0,0.000000,59.020000,0.000000,0.000000,19.470000,0.000000,0.000000,0.000000,8.000000,175.070000
1769029744.498550,0,0.000000,58.930000,0.000000,0.000000,19.530000,0.000000,0.000000,1.000000,8.000000,175.080000
1769029744.498550,0,0.000000,59.000000,0.000000,-0.050000,19.630000,0.000000,0.000000,0.000000,8.000000,175.100000
1769029744.498550,0,0.000000,58.910000,0.000000,0.090000,19.530000,0.000000,0.000000,0.000000,8.000000,175.110000
1769029744.529871,0,0.000000,58.910000,0.000000,0.030000,19.530000,0.000000,0.000000,1.000000,8.000000,175.130000
1769029744.529871,0,0.000000,58.860000,0.000000,0.000000,19.530000,0.000000,0.000000,0.000000,8.000000,175.130000
1769029744.545640,0,0.000000,58.910000,0.000000,0.000000,19.530000,0.000000,0.000000,0.000000,8.000000,175.160000
1769029744.545640,0,0.000000,58.830000,0.000000,0.000000,19.590000,0.000000,0.000000,0.000000,8.000000,175.160000
1769029744.593162,0,0.000000,58.930000,0.000000,0.010000,19.750000,0.000000,0.000000,0.000000,8.000000,175.190000
1769029744.593162,0,0.000000,58.910000,0.000000,0.030000,19.370000,0.000000,0.000000,0.000000,8.000000,175.190000
1769029744.593162,0,0.000000,58.860000,0.000000,0.030000,19.470000,0.000000,0.000000,0.000000,8.000000,175.220000
1769029744.622966,0,0.000000,58.950000,0.000000,-0.050000,19.300000,0.000000,0.000000,0.000000,8.000000,175.220000
1769029744.640455,0,0.000000,58.930000,0.000000,0.000000,19.630000,0.000000,0.000000,0.000000,8.000000,175.250000
1769029744.657658,0,0.000000,58.910000,0.000000,-0.020000,19.530000,0.000000,0.000000,0.250000,8.000000,175.250000
1769029744.657658,0,0.000000,58.900000,0.000000,0.010000,19.370000,0.000000,0.000000,0.250000,8.000000,175.270000
1769029744.687787,0,0.000000,58.910000,0.000000,0.000000,19.470000,0.000000,0.000000,0.250000,8.000000,175.280000
1769029744.703426,0,0.000000,58.970000,0.000000,-0.020000,19.530000,0.000000,0.000000,0.250000,8.000000,175.300000
1769029744.734957,0,0.000000,58.860000,0.000000,0.000000,19.470000,0.000000,0.000000,0.500000,8.000000,175.320000
1769029744.734957,0,0.000000,59.020000,0.000000,-0.020000,19.470000,0.000000,0.000000,0.000000,8.000000,175.330000
1769029744.757943,0,0.000000,58.860000,0.000000,0.010000,19.630000,0.000000,0.000000,0.000000,8.000000,175.350000
