epoch,mark,Clutch Command,Ankle Angle,Desired Torque (R),Measured Torque (R),Unused,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769447626.304269,0,0.000000,13.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,24.500000
1769447626.333600,0,0.000000,13.850000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,8.000000,24.530000
1769447626.349727,0,40.000000,13.310000,-57.950000,-0.740000,0.000000,0.000000,1.000000,0.000000,8.000000,24.540000
1769447626.365452,0,40.000000,13.070000,-29.860000,-0.720000,0.000000,0.000000,0.990000,0.000000,8.000000,24.550000
1769447626.381106,0,40.000000,12.810000,197.800000,-0.600000,0.000000,0.000000,1.000000,0.000000,8.000000,24.560000
1769447626.396799,0,40.000000,12.340000,81.880000,-0.300000,0.000000,0.000000,1.000000,1.000000,8.000000,24.590000
1769447626.412448,0,40.000000,12.100000,122.800000,-0.200000,0.000000,0.000000,1.000000,0.000000,8.000000,24.610000
1769447626.412448,0,40.000000,11.860000,88.900000,0.020000,0.000000,0.000000,1.000000,0.000000,8.000000,24.620000
1769447626.432170,0,40.000000,11.730000,1.440000,0.230000,0.000000,0.000000,0.990000,0.000000,8.000000,24.620000
1769447626.444062,0,40.000000,11.030000,-89.860000,1.030000,0.000000,0.000000,1.000000,0.000000,8.000000,24.640000
1769447626.459704,0,40.000000,9.610000,-223.250000,0.720000,0.000000,0.000000,1.000000,0.000000,8.000000,24.650000
1769447626.475542,0,40.000000,7.920000,-33.400000,1.260000,0.000000,0.000000,1.000000,0.000000,8.000000,24.680000
1769447626.475542,0,40.000000,6.150000,238.940000,0.810000,0.000000,0.000000,1.000000,0.000000,8.000000,24.700000
1769447626.491435,0,40.000000,4.670000,-29.610000,0.730000,0.000000,0.000000,0.990000,0.000000,8.000000,24.700000
1769447626.523219,0,40.000000,3.930000,-155.600000,0.070000,0.000000,0.000000,0.970000,0.330000,8.000000,24.720000
1769447626.538880,0,40.000000,3.750000,-196.420000,0.000000,0.000000,0.000000,0.930000,0.150000,8.000000,24.730000
1769447626.554576,0,40.000000,4.510000,-153.220000,-0.070000,0.000000,0.000000,0.870000,0.000000,8.000000,24.760000
1769447626.575174,0,40.000000,5.730000,-205.140000,-0.330000,0.000000,0.000000,0.810000,0.210000,8.000000,24.770000
1769447626.575174,0,40.000000,7.960000,-22.390000,-0.940000,0.000000,0.000000,0.770000,0.330000,8.000000,24.790000
1769447626.585839,0,40.000000,9.600000,-297.260000,-0.930000,0.000000,0.000000,0.740000,0.000000,8.000000,24.790000
