epoch,mark,Measured Torque Arm1 (R),Desired Torque Arm1 (R),Measured Torque Arm1 (L),Desired Torque Arm1 (L),Measured Torque Arm2 (R),Desired Torque Arm2 (R),Measured Torque Arm2 (L),Desired Torque Arm2 (L),Gait/100 (R),Gait/100 (L)
1769634983.517682,0,0.000000,4.110000,0.000000,4.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.580542,0,0.000000,4.320000,0.000000,4.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.596177,0,0.000000,6.280000,0.000000,6.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.611814,0,0.000000,6.880000,0.000000,6.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.611814,0,0.000000,7.480000,0.000000,7.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.643198,0,0.000000,8.070000,0.000000,8.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.658842,0,0.000000,8.640000,0.000000,8.640000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.674474,0,0.000000,9.130000,0.000000,9.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.690129,0,0.000000,9.570000,0.000000,9.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.706124,0,0.000000,9.980000,0.000000,9.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.721956,0,0.000000,10.280000,0.000000,10.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.721956,0,0.000000,10.520000,0.000000,10.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.737672,0,0.000000,10.680000,0.000000,10.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.753359,0,0.000000,10.710000,0.000000,10.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.780797,0,0.000000,10.600000,0.000000,10.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.784808,0,0.000000,10.390000,0.000000,10.390000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.816188,0,0.000000,10.060000,0.000000,10.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.816188,0,0.000000,9.550000,0.000000,9.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.831853,0,0.000000,8.880000,0.000000,8.890000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.847487,0,0.000000,8.140000,0.000000,8.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.863180,0,0.000000,7.260000,0.000000,7.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.879089,0,0.000000,6.280000,0.000000,6.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.879089,0,0.000000,5.300000,0.000000,5.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.894773,0,0.000000,4.190000,0.000000,4.210000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.926580,0,0.000000,3.100000,0.000000,3.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.926580,0,0.000000,2.030000,0.000000,2.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.942567,0,0.000000,0.890000,0.000000,0.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.958238,0,0.000000,-0.120000,0.000000,-0.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634983.973931,0,0.000000,-1.160000,0.000000,-1.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.005541,0,0.000000,-2.180000,0.000000,-2.170000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.021475,0,0.000000,-3.030000,0.000000,-3.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.021475,0,0.000000,-3.840000,0.000000,-3.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.037409,0,0.000000,-4.550000,0.000000,-4.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.068821,0,0.000000,-5.090000,0.000000,-5.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.084705,0,0.000000,-5.500000,0.000000,-5.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.100672,0,0.000000,-5.780000,0.000000,-5.780000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.116325,0,0.000000,-5.940000,0.000000,-5.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.131971,0,0.000000,-5.960000,0.000000,-5.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.131971,0,0.000000,-5.880000,0.000000,-5.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.147678,0,0.000000,-5.690000,0.000000,-5.690000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.165772,0,0.000000,-5.400000,0.000000,-5.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.195176,0,0.000000,-5.030000,0.000000,-5.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.210917,0,0.000000,-4.570000,0.000000,-4.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.210917,0,0.000000,-4.050000,0.000000,-4.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.226590,0,0.000000,-3.480000,0.000000,-3.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.226590,0,0.000000,-2.890000,0.000000,-2.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.258044,0,0.000000,-2.230000,0.000000,-2.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.281578,0,0.000000,-1.510000,0.000000,-1.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.289565,0,0.000000,-0.810000,0.000000,-0.810000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.305358,0,0.000000,-0.120000,0.000000,-0.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.321080,0,0.000000,0.140000,0.000000,0.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.337149,0,0.000000,0.340000,0.000000,0.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.352930,0,0.000000,0.560000,0.000000,0.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.352930,0,0.000000,0.750000,0.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.384708,0,0.000000,0.980000,0.000000,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.400357,0,0.000000,1.230000,0.000000,1.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.400357,0,0.000000,1.470000,0.000000,1.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.416018,0,0.000000,1.720000,0.000000,1.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.453989,0,0.000000,1.990000,0.000000,1.990000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.453989,0,0.000000,2.300000,0.000000,2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.466878,0,0.000000,2.640000,0.000000,2.640000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.494712,0,0.000000,2.990000,0.000000,2.990000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.510544,0,0.000000,3.360000,0.000000,3.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.510544,0,0.000000,3.790000,0.000000,3.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.542116,0,0.000000,4.260000,0.000000,4.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.542116,0,0.000000,4.730000,0.000000,4.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.685237,0,0.000000,5.280000,0.000000,5.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.685237,0,0.000000,5.820000,0.000000,5.820000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.685237,0,0.000000,6.400000,0.000000,6.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.685237,0,0.000000,7.030000,0.000000,7.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.685237,0,0.000000,7.610000,0.000000,7.590000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.685237,0,0.000000,8.140000,0.000000,8.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.685237,0,0.000000,8.650000,0.000000,8.640000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.717409,0,0.000000,9.180000,0.000000,9.180000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.717409,0,0.000000,9.630000,0.000000,9.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.717409,0,0.000000,10.020000,0.000000,10.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.749162,0,0.000000,10.320000,0.000000,10.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.749162,0,0.000000,10.560000,0.000000,10.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.764821,0,0.000000,10.680000,0.000000,10.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.796421,0,0.000000,10.690000,0.000000,10.690000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.796421,0,0.000000,10.590000,0.000000,10.590000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.812071,0,0.000000,10.340000,0.000000,10.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.843905,0,0.000000,9.970000,0.000000,9.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.843905,0,0.000000,9.390000,0.000000,9.390000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.875308,0,0.000000,8.730000,0.000000,8.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.875308,0,0.000000,7.980000,0.000000,7.980000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.890956,0,0.000000,7.090000,0.000000,7.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.890956,0,0.000000,6.150000,0.000000,6.170000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.922391,0,0.000000,5.070000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.922391,0,0.000000,4.010000,0.000000,4.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.953733,0,0.000000,2.960000,0.000000,2.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.969373,0,0.000000,1.780000,0.000000,1.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634984.985044,0,0.000000,0.740000,0.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.000694,0,0.000000,-0.380000,0.000000,-0.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.000694,0,0.000000,-1.460000,0.000000,-1.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.039860,0,0.000000,-2.380000,0.000000,-2.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.063907,0,0.000000,-3.260000,0.000000,-3.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.063907,0,0.000000,-4.070000,0.000000,-4.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.095213,0,0.000000,-4.690000,0.000000,-4.690000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.095213,0,0.000000,-5.250000,0.000000,-5.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.110865,0,0.000000,-5.630000,0.000000,-5.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.110865,0,0.000000,-5.840000,0.000000,-5.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.110865,0,0.000000,-5.960000,0.000000,-5.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.142664,0,0.000000,-5.940000,0.000000,-5.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.174125,0,0.000000,-5.840000,0.000000,-5.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.205488,0,0.000000,-5.630000,0.000000,-5.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.205488,0,0.000000,-5.300000,0.000000,-5.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.236811,0,0.000000,-4.920000,0.000000,-4.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.236811,0,0.000000,-4.480000,0.000000,-4.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.252463,0,0.000000,-3.940000,0.000000,-3.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.252463,0,0.000000,-3.350000,0.000000,-3.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.268317,0,0.000000,-2.740000,0.000000,-2.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.284241,0,0.000000,-2.050000,0.000000,-2.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.315654,0,0.000000,-1.400000,0.000000,-1.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.315654,0,0.000000,-0.740000,0.000000,-0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.346933,0,0.000000,-0.050000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.346933,0,0.000000,0.150000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.362574,0,0.000000,0.360000,0.000000,0.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.362574,0,0.000000,0.560000,0.000000,0.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.393884,0,0.000000,0.760000,0.000000,0.760000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.393884,0,0.000000,0.990000,0.000000,0.990000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.425197,0,0.000000,1.220000,0.000000,1.210000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.425197,0,0.000000,1.450000,0.000000,1.440000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.441025,0,0.000000,1.700000,0.000000,1.690000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.441025,0,0.000000,1.970000,0.000000,1.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.503646,0,0.000000,2.260000,0.000000,2.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.503646,0,0.000000,2.580000,0.000000,2.580000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.503646,0,0.000000,2.930000,0.000000,2.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.503646,0,0.000000,3.310000,0.000000,3.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.550655,0,0.000000,3.740000,0.000000,3.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.550655,0,0.000000,4.150000,0.000000,4.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.550655,0,0.000000,4.650000,0.000000,4.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.550655,0,0.000000,5.130000,0.000000,5.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.598061,0,0.000000,5.690000,0.000000,5.690000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.598061,0,0.000000,6.260000,0.000000,6.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.629360,0,0.000000,6.840000,0.000000,6.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.629360,0,0.000000,7.420000,0.000000,7.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.660664,0,0.000000,8.010000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.692029,0,0.000000,8.520000,0.000000,8.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.707670,0,0.000000,9.060000,0.000000,9.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.707670,0,0.000000,9.520000,0.000000,9.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.707670,0,0.000000,9.930000,0.000000,9.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.739142,0,0.000000,10.270000,0.000000,10.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.770616,0,0.000000,10.520000,0.000000,10.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.770616,0,0.000000,10.650000,0.000000,10.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.770616,0,0.000000,10.710000,0.000000,10.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.809733,0,0.000000,10.640000,0.000000,10.640000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.810748,0,0.000000,10.430000,0.000000,10.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.833344,0,0.000000,10.090000,0.000000,10.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.849019,0,0.000000,9.600000,0.000000,9.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.849019,0,0.000000,8.920000,0.000000,8.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.880625,0,0.000000,8.110000,0.000000,8.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.896268,0,0.000000,7.190000,0.000000,7.190000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.896268,0,0.000000,6.280000,0.000000,6.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.927844,0,0.000000,5.230000,0.000000,5.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.927844,0,0.000000,4.110000,0.000000,4.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.943532,0,0.000000,2.960000,0.000000,2.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.974813,0,0.000000,1.850000,0.000000,1.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.974813,0,0.000000,0.680000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634985.990446,0,0.000000,-0.380000,0.000000,-0.370000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.022060,0,0.000000,-1.460000,0.000000,-1.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.037691,0,0.000000,-2.430000,0.000000,-2.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.037691,0,0.000000,-3.250000,0.000000,-3.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.069038,0,0.000000,-4.010000,0.000000,-4.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.069038,0,0.000000,-4.690000,0.000000,-4.690000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.085145,0,0.000000,-5.230000,0.000000,-5.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.100802,0,0.000000,-5.630000,0.000000,-5.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.100802,0,0.000000,-5.860000,0.000000,-5.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.132575,0,0.000000,-5.960000,0.000000,-5.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.148241,0,0.000000,-5.940000,0.000000,-5.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.148241,0,0.000000,-5.820000,0.000000,-5.820000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.179915,0,0.000000,-5.610000,0.000000,-5.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.195571,0,0.000000,-5.320000,0.000000,-5.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.195571,0,0.000000,-4.920000,0.000000,-4.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.227065,0,0.000000,-4.480000,0.000000,-4.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.242697,0,0.000000,-3.940000,0.000000,-3.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.242697,0,0.000000,-3.350000,0.000000,-3.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.274069,0,0.000000,-2.720000,0.000000,-2.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.274069,0,0.000000,-2.010000,0.000000,-2.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.289709,0,0.000000,-1.320000,0.000000,-1.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.321033,0,0.000000,-0.640000,0.000000,-0.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.336698,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.336698,0,0.000000,0.200000,0.000000,0.180000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.368362,0,0.000000,0.370000,0.000000,0.370000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.384041,0,0.000000,0.580000,0.000000,0.580000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.384041,0,0.000000,0.790000,0.000000,0.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.415777,0,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.415777,0,0.000000,1.240000,0.000000,1.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.431407,0,0.000000,1.470000,0.000000,1.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.431407,0,0.000000,1.720000,0.000000,1.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.463044,0,0.000000,1.980000,0.000000,1.980000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.478887,0,0.000000,2.270000,0.000000,2.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.478887,0,0.000000,2.590000,0.000000,2.590000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.510551,0,0.000000,2.960000,0.000000,2.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.534228,0,0.000000,3.350000,0.000000,3.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.534228,0,0.000000,3.750000,0.000000,3.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.557946,0,0.000000,4.150000,0.000000,4.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.557946,0,0.000000,4.650000,0.000000,4.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.573598,0,0.000000,5.190000,0.000000,5.170000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.610645,0,0.000000,5.730000,0.000000,5.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.636569,0,0.000000,6.300000,0.000000,6.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.636569,0,0.000000,6.860000,0.000000,6.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.668238,0,0.000000,7.440000,0.000000,7.440000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.668238,0,0.000000,8.020000,0.000000,8.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.668238,0,0.000000,8.560000,0.000000,8.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
