epoch,mark,PWM Signal,Ankle Angle,Desired Torque (R),Measured Torque (R),Unused,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769637627.878133,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,43.040000
1769637627.878133,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,43.090000
1769637627.878133,0,11.270000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,8.000000,43.090000
1769637627.944392,0,-4.050000,0.000000,0.000000,-0.140000,0.000000,0.000000,0.000000,0.000000,8.000000,43.110000
1769637627.944791,0,-2.780000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,8.000000,43.130000
1769637627.944791,0,0.050000,0.000000,0.000000,-0.140000,0.000000,0.000000,0.000000,0.000000,8.000000,43.150000
1769637628.001547,0,-0.010000,0.000000,0.000000,-0.140000,0.000000,0.000000,0.000000,0.000000,8.000000,43.150000
1769637628.001547,0,49.560000,0.000000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,8.000000,43.180000
1769637628.001547,0,19.940000,0.000000,0.000000,-0.140000,0.000000,0.000000,1.110000,0.000000,8.000000,43.180000
1769637628.003552,0,15.920000,0.000000,0.000000,-0.150000,0.000000,0.000000,1.000000,0.000000,8.000000,43.200000
1769637628.051052,0,-8.020000,0.000000,0.000000,-0.150000,0.000000,0.000000,1.000000,0.000000,8.000000,43.220000
1769637628.051052,0,-3.470000,0.000000,0.000000,-0.140000,0.000000,0.000000,1.000000,0.000000,8.000000,43.240000
1769637628.051052,0,7.070000,0.000000,0.000000,-0.170000,0.000000,0.000000,1.010000,0.000000,8.000000,43.250000
1769637628.080714,0,-26.690000,0.000000,0.000000,-0.100000,0.000000,0.000000,1.000000,0.000000,8.000000,43.270000
1769637628.126797,0,4.760000,0.000000,0.000000,-0.170000,0.000000,0.000000,1.000000,0.000000,8.000000,43.270000
1769637628.128781,0,0.340000,0.000000,0.000000,-0.180000,0.000000,0.000000,1.000000,0.000000,8.000000,43.290000
1769637628.128781,0,5.650000,0.000000,0.000000,-0.200000,0.000000,0.000000,0.990000,0.000000,8.000000,43.310000
1769637628.144814,0,-11.210000,0.000000,0.000000,-0.150000,0.000000,0.000000,1.000000,0.200000,8.000000,43.330000
1769637628.156826,0,4.940000,0.000000,0.000000,-0.200000,0.000000,0.000000,0.990000,0.000000,8.000000,43.340000
1769637628.178672,0,1.340000,0.000000,0.000000,-0.210000,0.000000,0.000000,1.000000,0.000000,8.000000,43.360000
1769637628.178672,0,19.250000,0.000000,0.000000,-0.230000,0.000000,0.000000,1.000000,0.000000,8.000000,43.360000
1769637628.211387,0,0.210000,0.000000,0.000000,-0.210000,0.000000,0.000000,1.000000,0.000000,8.000000,43.380000
1769637628.211387,0,7.000000,0.000000,0.000000,-0.200000,0.000000,0.000000,1.000000,0.100000,8.000000,43.400000
1769637628.228084,0,10.860000,0.000000,0.000000,-0.230000,0.000000,0.000000,0.980000,0.000000,8.000000,43.410000
1769637628.243782,0,4.960000,0.000000,0.000000,-0.200000,0.000000,0.000000,1.000000,0.000000,8.000000,43.430000
1769637628.262078,0,7.130000,0.000000,0.000000,-0.250000,0.000000,0.000000,0.990000,0.000000,8.000000,43.450000
1769637628.262078,0,4.780000,0.000000,0.000000,-0.250000,0.000000,0.000000,1.000000,0.200000,8.000000,43.450000
1769637628.302698,0,0.370000,0.000000,0.000000,-0.270000,0.000000,0.000000,1.000000,0.000000,8.000000,43.470000
1769637628.303699,0,18.620000,0.000000,0.000000,-0.310000,0.000000,0.000000,0.990000,0.000000,8.000000,43.490000
1769637628.327627,0,14.720000,0.000000,0.000000,-0.310000,0.000000,0.000000,1.000000,0.000000,8.000000,43.500000
1769637628.358713,0,10.180000,0.000000,0.000000,-0.370000,0.000000,0.000000,0.990000,0.000000,8.000000,43.520000
1769637628.358713,0,-1.910000,0.000000,0.000000,-0.400000,0.000000,0.000000,1.000000,0.000000,8.000000,43.540000
1769637628.389230,0,5.550000,0.000000,0.000000,-0.430000,0.000000,0.000000,1.000000,0.000000,8.000000,43.540000
1769637628.421121,0,-7.400000,0.000000,0.000000,-0.440000,0.000000,0.000000,1.000000,0.000000,8.000000,43.560000
1769637628.422208,0,0.360000,0.000000,0.000000,-0.520000,0.000000,0.000000,1.000000,0.200000,8.000000,43.580000
1769637628.423253,0,1.120000,0.000000,0.000000,-0.510000,0.000000,0.000000,0.990000,0.000000,8.000000,43.590000
1769637628.452996,0,-0.070000,0.000000,0.000000,-0.560000,0.000000,0.000000,1.000000,0.000000,8.000000,43.610000
1769637628.452996,0,-9.420000,0.000000,0.000000,-0.620000,0.000000,0.000000,1.000000,0.000000,8.000000,43.630000
1769637628.484340,0,-4.150000,0.000000,0.000000,-0.700000,0.000000,0.000000,1.000000,0.000000,8.000000,43.630000
1769637628.484340,0,7.500000,0.000000,0.000000,-0.760000,0.000000,0.000000,1.000000,0.000000,8.000000,43.650000
1769637628.516945,0,-0.150000,0.000000,0.000000,-0.820000,0.000000,0.000000,1.000000,0.000000,8.000000,43.660000
1769637628.517469,0,5.030000,0.000000,0.000000,-0.860000,0.000000,0.000000,1.000000,0.000000,8.000000,43.680000
1769637628.546889,0,-2.640000,0.000000,0.000000,-0.870000,0.000000,0.000000,1.000000,0.000000,8.000000,43.700000
1769637628.546889,0,1.630000,0.000000,0.000000,-0.910000,0.000000,0.000000,0.990000,0.000000,8.000000,43.720000
1769637628.578691,0,10.710000,0.000000,0.000000,-0.890000,0.000000,0.000000,1.000000,0.000000,8.000000,43.720000
1769637628.578691,0,4.090000,0.000000,0.000000,-0.910000,0.000000,0.000000,1.000000,0.000000,8.000000,43.750000
1769637628.594911,0,8.050000,0.000000,0.000000,-0.890000,0.000000,0.000000,0.990000,0.000000,8.000000,43.750000
1769637628.594911,0,3.500000,0.000000,0.000000,-0.810000,0.000000,0.000000,0.990000,0.000000,8.000000,43.770000
1769637628.626112,0,-19.870000,0.000000,0.000000,-0.770000,0.000000,0.000000,0.980000,0.000000,8.000000,43.790000
1769637628.626112,0,-8.380000,0.000000,0.000000,-0.800000,0.000000,0.000000,0.970000,0.000000,8.000000,43.810000
1769637628.672458,0,-9.030000,0.000000,0.000000,-0.750000,0.000000,0.000000,0.950000,0.000000,8.000000,43.810000
1769637628.673461,0,1.350000,0.000000,0.000000,-0.740000,0.000000,0.000000,0.930000,0.000000,8.000000,43.840000
1769637628.673461,0,-2.610000,0.000000,0.000000,-0.660000,0.000000,0.000000,0.880000,0.000000,8.000000,43.840000
1769637628.689219,0,-7.440000,0.000000,0.000000,-0.570000,0.000000,0.000000,0.800000,0.000000,8.000000,43.860000
1769637628.720718,0,-8.980000,0.000000,0.000000,-0.460000,0.000000,0.000000,0.660000,0.000000,8.000000,43.880000
1769637628.720718,0,-9.220000,0.000000,0.000000,-0.370000,0.000000,0.000000,0.470000,0.000000,8.000000,43.900000
1769637628.736456,0,4.320000,0.000000,0.000000,-0.300000,0.000000,0.000000,0.310000,0.000000,8.000000,43.900000
1769637628.752363,0,2.940000,0.000000,0.000000,-0.250000,0.000000,0.000000,0.180000,0.000000,8.000000,43.930000
1769637628.784151,0,-4.800000,0.000000,0.000000,-0.280000,0.000000,0.000000,0.050000,0.000000,8.000000,43.930000
1769637628.784151,0,59.910000,0.000000,0.000000,-0.230000,0.000000,0.000000,0.000000,0.000000,8.000000,43.950000
1769637628.816383,0,0.150000,0.000000,0.000000,-0.210000,0.000000,0.000000,0.000000,0.000000,8.000000,43.970000
1769637628.816383,0,4.260000,0.000000,0.000000,-0.250000,0.000000,0.000000,0.000000,0.000000,8.000000,43.990000
1769637628.816383,0,-23.620000,0.000000,0.000000,-0.230000,0.000000,0.000000,0.000000,0.000000,8.000000,44.000000
1769637628.848158,0,36.700000,0.000000,0.000000,-0.280000,0.000000,0.000000,0.000000,0.000000,8.000000,44.020000
1769637628.848158,0,-18.790000,0.000000,0.000000,-0.250000,0.000000,0.000000,0.000000,0.000000,8.000000,44.020000
1769637628.880619,0,6.690000,0.000000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,8.000000,44.040000
1769637628.881666,0,-4.340000,0.000000,0.000000,-0.310000,0.000000,0.000000,0.000000,0.000000,8.000000,44.060000
1769637628.910473,0,6.760000,0.000000,0.000000,-0.370000,0.000000,0.000000,0.000000,0.000000,8.000000,44.080000
1769637628.942272,0,-0.180000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,8.000000,44.090000
1769637628.942841,0,12.850000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,8.000000,44.110000
1769637628.957957,0,7.070000,0.000000,0.000000,-0.460000,0.000000,0.000000,0.000000,0.000000,8.000000,44.110000
1769637628.973936,0,-6.880000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,8.000000,44.130000
1769637628.989586,0,-10.690000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,8.000000,44.150000
1769637628.989586,0,-11.390000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.500000,8.000000,44.160000
1769637629.021001,0,-3.400000,0.000000,0.000000,-0.490000,0.000000,0.000000,0.000000,0.000000,8.000000,44.180000
1769637629.021001,0,-15.690000,0.000000,0.000000,-0.430000,0.000000,0.000000,0.000000,0.000000,8.000000,44.200000
