epoch,mark,Unused,Ankused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds),Battery Level (Volts),???
1770067801.729239,0,0.000000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,8.000000,37.060000
1770067801.753746,0,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,37.090000
1770067801.769418,0,0.000000,0.100000,0.000000,-0.070000,0.000000,0.000000,0.000000,-0.500000,8.000000,37.110000
1770067801.854187,0,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,37.110000
1770067801.896647,0,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,8.000000,37.130000
1770067801.896647,0,0.000000,0.070000,0.000000,0.580000,0.000000,0.000000,0.000000,0.640000,8.000000,37.240000
1770067802.056140,0,0.000000,0.070000,0.000000,0.620000,0.000000,0.000000,0.000000,0.500000,8.000000,37.250000
1770067802.088015,0,0.000000,0.150000,0.000000,0.400000,0.000000,0.000000,0.000000,0.680000,8.000000,37.310000
1770067802.114291,0,0.000000,0.110000,0.000000,0.050000,0.000000,0.000000,0.000000,0.170000,8.000000,37.380000
1770067802.114291,0,0.000000,0.070000,0.000000,0.050000,0.000000,0.000000,0.000000,0.070000,8.000000,37.430000
1770067802.114291,0,0.000000,0.110000,0.000000,-0.090000,0.000000,0.000000,0.000000,0.010000,8.000000,37.450000
1770067802.119859,0,0.000000,0.100000,0.000000,0.050000,0.000000,0.000000,0.000000,0.070000,8.000000,37.580000
1770067802.151262,0,0.000000,0.100000,0.000000,0.050000,0.000000,0.000000,0.000000,0.070000,8.000000,37.610000
1770067802.151262,0,0.000000,0.110000,0.000000,0.050000,0.000000,0.000000,0.000000,0.070000,8.000000,37.630000
1770067802.151262,0,0.000000,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,0.050000,8.000000,37.630000
1770067802.198649,0,0.000000,0.110000,0.000000,0.010000,0.000000,0.000000,0.000000,0.070000,8.000000,37.650000
1770067802.198649,0,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,8.000000,37.660000
1770067802.277520,0,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,8.000000,37.680000
1770067802.293530,0,0.000000,0.100000,0.000000,0.050000,0.000000,0.000000,0.000000,0.100000,8.000000,37.700000
1770067802.293530,0,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,8.000000,37.720000
1770067802.325379,0,0.000000,0.070000,0.000000,0.030000,0.000000,0.000000,0.000000,0.070000,8.000000,37.720000
1770067802.341090,0,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,8.000000,37.790000
1770067802.341090,0,0.000000,0.110000,0.000000,0.050000,0.000000,0.000000,0.000000,0.070000,8.000000,37.810000
1770067802.388727,0,0.000000,0.100000,0.000000,0.020000,0.000000,0.000000,0.000000,0.100000,8.000000,37.810000
1770067802.388727,0,0.000000,0.110000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.070000,8.000000,37.840000
1770067802.388727,0,0.000000,0.070000,0.000000,-0.370000,0.000000,0.000000,0.000000,0.070000,8.000000,37.840000
1770067802.388727,0,0.000000,0.110000,0.000000,-0.140000,0.000000,0.000000,0.000000,0.070000,8.000000,37.860000
1770067802.499876,0,0.000000,0.070000,0.000000,0.010000,0.000000,0.000000,0.000000,0.100000,8.000000,37.900000
1770067802.531640,0,0.000000,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,0.210000,8.000000,37.900000
1770067802.531640,0,0.000000,0.070000,0.000000,0.140000,0.000000,0.000000,0.000000,0.440000,8.000000,37.930000
1770067802.563305,0,0.000000,0.110000,0.000000,0.120000,0.000000,0.000000,0.000000,0.500000,8.000000,37.930000
1770067802.563305,0,0.000000,1.790000,0.000000,0.120000,0.000000,0.000000,0.000000,0.470000,8.000000,38.000000
1770067802.563305,0,0.000000,0.230000,0.000000,0.070000,0.000000,0.000000,0.000000,0.560000,8.000000,38.040000
1770067802.563305,0,0.000000,0.100000,0.000000,0.010000,0.000000,0.000000,0.000000,0.620000,8.000000,38.040000
1770067802.615670,0,0.000000,0.070000,0.000000,0.100000,0.000000,0.000000,0.000000,0.600000,8.000000,38.060000
1770067802.615670,0,0.000000,0.110000,0.000000,0.120000,0.000000,0.000000,0.000000,0.560000,8.000000,38.080000
1770067802.615670,0,0.000000,0.110000,0.000000,0.070000,0.000000,0.000000,0.000000,0.500000,8.000000,38.090000
1770067802.615670,0,0.000000,0.100000,0.000000,0.070000,0.000000,0.000000,0.000000,0.540000,8.000000,38.110000
1770067802.642426,0,0.000000,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,0.620000,8.000000,38.130000
1770067802.642426,0,0.000000,0.100000,0.000000,0.090000,0.000000,0.000000,0.000000,0.620000,8.000000,38.130000
1770067802.689835,0,0.000000,0.070000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.600000,8.000000,38.150000
1770067802.800707,0,0.000000,0.110000,0.000000,0.090000,0.000000,0.000000,0.000000,0.600000,8.000000,38.160000
1770067802.816432,0,0.000000,0.070000,0.000000,0.110000,0.000000,0.000000,0.000000,0.560000,8.000000,38.180000
1770067802.847913,0,0.000000,0.170000,0.000000,0.110000,0.000000,0.000000,0.000000,0.500000,8.000000,38.200000
1770067802.847913,0,0.000000,0.550000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.370000,8.000000,38.220000
1770067802.895268,0,0.000000,0.440000,0.000000,0.100000,0.000000,0.000000,0.000000,0.250000,8.000000,38.290000
1770067802.895268,0,0.000000,1.270000,0.000000,0.150000,0.000000,0.000000,0.000000,0.400000,8.000000,38.310000
1770067802.895268,0,0.000000,1.460000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410000,8.000000,38.340000
1770067802.990701,0,0.000000,1.880000,0.000000,0.070000,0.000000,0.000000,0.000000,0.440000,8.000000,38.360000
1770067803.038318,0,0.000000,3.220000,0.000000,0.150000,0.000000,0.000000,0.000000,0.440000,8.000000,38.400000
1770067803.069772,0,0.000000,3.670000,0.000000,0.110000,0.000000,0.000000,0.000000,0.410000,8.000000,38.410000
1770067803.069772,0,0.000000,4.480000,0.000000,0.100000,0.000000,0.000000,0.000000,0.440000,8.000000,38.430000
1770067803.101283,0,0.000000,6.900000,0.000000,0.120000,0.000000,0.000000,0.000000,0.410000,8.000000,38.490000
1770067803.101283,0,0.000000,7.230000,0.000000,0.070000,0.000000,0.000000,1.010000,0.440000,8.000000,38.500000
1770067803.148624,0,0.000000,7.480000,0.000000,0.100000,0.000000,0.000000,1.000000,0.500000,8.000000,38.520000
1770067803.148624,0,0.000000,7.800000,0.000000,0.100000,0.000000,0.000000,0.990000,0.620000,8.000000,38.540000
1770067803.148624,0,0.000000,7.280000,0.000000,0.180000,0.000000,0.000000,1.000000,0.930000,8.000000,38.580000
1770067803.148624,0,0.000000,6.980000,0.000000,0.090000,0.000000,0.000000,1.000000,1.010000,8.000000,38.590000
1770067803.148624,0,0.000000,5.280000,0.000000,0.020000,0.000000,0.000000,0.990000,1.000000,8.000000,38.650000
1770067803.195836,0,0.000000,4.480000,0.000000,0.100000,0.000000,0.000000,0.910000,1.000000,8.000000,38.650000
1770067803.195836,0,0.000000,3.650000,0.000000,0.100000,0.000000,0.000000,0.740000,1.000000,8.000000,38.680000
1770067803.195836,0,0.000000,2.610000,0.000000,0.110000,0.000000,0.000000,0.460000,1.000000,8.000000,38.680000
1770067803.227692,0,0.000000,1.900000,0.000000,0.000000,0.000000,0.000000,0.180000,0.990000,8.000000,38.700000
1770067803.259325,0,0.000000,1.000000,0.000000,0.070000,0.000000,0.000000,0.000000,1.000000,8.000000,38.720000
1770067803.290893,0,0.000000,0.170000,0.000000,0.020000,0.000000,0.000000,0.000000,1.000000,8.000000,38.740000
1770067803.290893,0,0.000000,0.150000,0.000000,0.030000,0.000000,0.000000,0.000000,0.990000,8.000000,38.750000
1770067803.337929,0,0.000000,0.110000,0.000000,0.020000,0.000000,0.000000,0.000000,1.000000,8.000000,38.770000
1770067803.337929,0,0.000000,0.070000,0.000000,0.030000,0.000000,0.000000,0.000000,0.990000,8.000000,38.770000
1770067803.337929,0,0.000000,0.110000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.990000,8.000000,38.790000
1770067803.337929,0,0.000000,0.170000,0.000000,0.050000,0.000000,0.000000,0.000000,0.990000,8.000000,38.810000
1770067803.337929,0,0.000000,0.110000,0.000000,0.010000,0.000000,0.000000,0.000000,1.000000,8.000000,38.830000
1770067803.337929,0,0.000000,0.100000,0.000000,0.070000,0.000000,0.000000,0.000000,1.000000,8.000000,38.840000
1770067803.337929,0,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,8.000000,38.860000
1770067803.401213,0,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.990000,8.000000,38.860000
1770067803.416887,0,0.000000,0.170000,0.000000,0.000000,0.000000,0.000000,0.000000,0.950000,8.000000,38.880000
1770067803.432571,0,0.000000,0.110000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.920000,8.000000,38.900000
1770067803.448238,0,0.000000,0.150000,0.000000,0.010000,0.000000,0.000000,0.000000,0.820000,8.000000,38.910000
1770067803.463911,0,0.000000,0.070000,0.000000,0.120000,0.000000,0.000000,0.000000,0.700000,8.000000,38.930000
1770067803.495255,0,0.000000,0.110000,0.000000,0.090000,0.000000,0.000000,0.000000,0.560000,8.000000,38.950000
1770067803.495255,0,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.430000,8.000000,38.950000
1770067803.511373,0,0.000000,0.100000,0.000000,0.090000,0.000000,0.000000,0.000000,0.310000,8.000000,38.970000
1770067803.527037,0,0.000000,0.100000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.230000,8.000000,38.990000
1770067803.527037,0,0.000000,0.100000,0.000000,0.150000,0.000000,0.000000,0.000000,0.170000,8.000000,39.000000
1770067803.574360,0,0.000000,0.110000,0.000000,0.050000,0.000000,0.000000,0.000000,0.100000,8.000000,39.020000
1770067803.574360,0,0.000000,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,0.050000,8.000000,39.040000
1770067803.574360,0,0.000000,0.110000,0.000000,0.100000,0.000000,0.000000,0.000000,0.050000,8.000000,39.040000
1770067803.574360,0,0.000000,0.550000,0.000000,0.030000,0.000000,0.000000,0.000000,0.030000,8.000000,39.060000
1770067803.638438,0,0.000000,1.270000,0.000000,0.210000,0.000000,0.000000,0.000000,0.010000,8.000000,39.080000
1770067803.638438,0,0.000000,1.950000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,8.000000,39.090000
1770067803.638438,0,0.000000,2.560000,0.000000,0.140000,0.000000,0.000000,0.000000,0.000000,8.000000,39.110000
1770067803.638438,0,0.000000,3.290000,0.000000,0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,39.110000
1770067803.638438,0,0.000000,4.050000,0.000000,0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,39.130000
1770067803.701427,0,0.000000,5.110000,0.000000,0.090000,0.000000,0.000000,0.000000,0.000000,8.000000,39.150000
1770067803.701427,0,0.000000,6.010000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,8.000000,39.160000
1770067803.733066,0,0.000000,6.710000,0.000000,0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,39.180000
1770067803.764484,0,0.000000,7.090000,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,8.000000,39.200000
1770067803.764484,0,0.000000,7.380000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,8.000000,39.200000
1770067803.764484,0,0.000000,7.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,8.000000,39.220000
1770067803.812010,0,0.000000,7.860000,0.000000,0.140000,0.000000,0.000000,0.000000,0.010000,8.000000,39.240000
1770067803.812010,0,0.000000,8.180000,0.000000,0.050000,0.000000,0.000000,0.000000,0.020000,8.000000,39.250000
1770067803.812010,0,0.000000,8.470000,0.000000,0.180000,0.000000,0.000000,0.000000,0.010000,8.000000,39.270000
1770067803.874721,0,0.000000,8.970000,0.000000,0.280000,0.000000,0.000000,0.180000,0.010000,8.000000,39.290000
1770067803.874721,0,0.000000,12.060000,0.000000,0.050000,0.000000,0.000000,0.640000,0.010000,8.000000,39.340000
1770067803.874721,0,0.000000,13.380000,0.000000,0.100000,0.000000,0.000000,0.720000,0.020000,8.000000,39.340000
1770067803.874721,0,0.000000,15.110000,0.000000,0.280000,0.000000,0.000000,0.740000,0.020000,8.000000,39.360000
1770067803.874721,0,0.000000,16.950000,0.000000,0.090000,0.000000,0.000000,0.750000,0.010000,8.000000,39.380000
1770067803.938050,0,0.000000,18.570000,0.000000,0.070000,0.000000,0.000000,0.730000,0.010000,8.000000,39.400000
1770067803.938050,0,0.000000,20.280000,0.000000,0.150000,0.000000,0.000000,0.690000,0.010000,8.000000,39.400000
1770067803.969699,0,0.000000,21.820000,0.000000,0.120000,0.000000,0.000000,0.680000,0.020000,8.000000,39.430000
1770067803.969699,0,0.000000,23.500000,0.000000,0.090000,0.000000,0.000000,0.620000,0.020000,8.000000,39.430000
