epoch,mark,PWM Signal,Ankle Angle,Desired Torque (R),Measured Torque (R),Ankle Angle,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1770143449.383766,0,0.000000,0.000000,0.000000,0.000000,43.110000,0.000000,2.000000,0.000000,8.000000,25.220000
1770143449.415251,0,0.000000,0.000000,0.000000,0.000000,43.130000,0.000000,1.000000,0.000000,8.000000,25.250000
1770143449.446945,0,18.260000,0.000000,0.000000,-0.070000,43.090000,0.000000,0.970000,2.000000,8.000000,25.260000
1770143449.446945,0,27.470000,0.000000,0.000000,-0.110000,43.110000,0.000000,1.000000,0.250000,8.000000,25.280000
1770143449.462964,0,26.100000,0.000000,0.000000,-0.180000,43.110000,0.000000,1.000000,0.500000,8.000000,25.290000
1770143449.462964,0,20.950000,0.000000,0.000000,-0.100000,43.060000,0.000000,1.000000,0.500000,8.000000,25.300000
1770143449.478599,0,20.750000,0.000000,0.000000,-0.100000,42.790000,0.000000,1.000000,1.000000,8.000000,25.310000
1770143449.510569,0,29.090000,0.000000,0.000000,-0.140000,42.650000,0.000000,1.000000,0.500000,8.000000,25.340000
1770143449.510569,0,20.300000,0.000000,0.000000,-0.100000,42.150000,0.000000,0.990000,0.750000,8.000000,25.350000
1770143449.526328,0,11.320000,0.000000,0.000000,-0.050000,41.950000,0.000000,1.000000,0.250000,8.000000,25.370000
1770143449.542247,0,4.070000,0.000000,0.000000,-0.020000,41.450000,0.000000,0.990000,0.500000,8.000000,25.370000
1770143449.558103,0,-2.470000,0.000000,0.000000,0.000000,41.150000,0.000000,1.000000,0.250000,8.000000,25.390000
1770143449.577157,0,10.110000,0.000000,0.000000,-0.030000,40.860000,0.000000,1.000000,0.500000,8.000000,25.400000
1770143449.590045,0,2.920000,0.000000,0.000000,0.000000,40.540000,0.000000,0.990000,0.250000,8.000000,25.430000
1770143449.606116,0,4.170000,0.000000,0.000000,-0.020000,40.250000,0.000000,1.000000,0.500000,8.000000,25.450000
1770143449.621883,0,7.750000,0.000000,0.000000,0.000000,39.790000,0.000000,1.000000,0.750000,8.000000,25.450000
1770143449.653885,0,-5.000000,0.000000,0.000000,0.000000,39.790000,0.000000,1.000000,0.500000,8.000000,25.470000
1770143449.653885,0,-5.050000,0.000000,0.000000,0.000000,39.790000,0.000000,1.000000,0.500000,8.000000,25.480000
1770143449.669589,0,-4.090000,0.000000,0.000000,0.000000,39.930000,0.000000,1.000000,0.250000,8.000000,25.510000
